Halb,Engine,Model,Vehicle_Type,Forecast_Model,Month,Actual_Demand,Forecast_Demand,Difference
80206319,E483_BS3_DSL,10.60 P/stg with MRF tyres,Bus,Moving Average,2025-01-01,0,0.0,0.0
80206319,E483_BS3_DSL,10.60 P/stg with MRF tyres,Bus,Moving Average,2025-02-01,0,0.0,0.0
80206319,E483_BS3_DSL,10.60 P/stg with MRF tyres,Bus,Moving Average,2025-03-01,0,0.0,0.0
80206319,E483_BS3_DSL,10.60 P/stg with MRF tyres,Bus,SES,2025-01-01,0,1.4901159861580074e-07,-1.4901159861580074e-07
80206319,E483_BS3_DSL,10.60 P/stg with MRF tyres,Bus,SES,2025-02-01,0,1.4901159861580074e-07,-1.4901159861580074e-07
80206319,E483_BS3_DSL,10.60 P/stg with MRF tyres,Bus,SES,2025-03-01,0,1.4901159861580074e-07,-1.4901159861580074e-07
80206319,E483_BS3_DSL,10.60 P/stg with MRF tyres,Bus,Holt,2025-01-01,0,1.4901159891877776e-07,-1.4901159891877776e-07
80206319,E483_BS3_DSL,10.60 P/stg with MRF tyres,Bus,Holt,2025-02-01,0,1.4901159896206016e-07,-1.4901159896206016e-07
80206319,E483_BS3_DSL,10.60 P/stg with MRF tyres,Bus,Holt,2025-03-01,0,1.490115990053426e-07,-1.490115990053426e-07
80206319,E483_BS3_DSL,10.60 P/stg with MRF tyres,Bus,Holt Winters,2025-01-01,0,1.0476210741887926,-1.0476210741887926
80206319,E483_BS3_DSL,10.60 P/stg with MRF tyres,Bus,Holt Winters,2025-02-01,0,1.0995692376613888,-1.0995692376613888
80206319,E483_BS3_DSL,10.60 P/stg with MRF tyres,Bus,Holt Winters,2025-03-01,0,1.151517401133985,-1.151517401133985
80206319,E483_BS3_DSL,10.60 P/stg with MRF tyres,Bus,ARIMA,2025-01-01,0,0.4786850090436571,-0.4786850090436571
80206319,E483_BS3_DSL,10.60 P/stg with MRF tyres,Bus,ARIMA,2025-02-01,0,0.4763987414297238,-0.4763987414297238
80206319,E483_BS3_DSL,10.60 P/stg with MRF tyres,Bus,ARIMA,2025-03-01,0,0.47640966096867693,-0.47640966096867693
80206319,E483_BS3_DSL,10.60 P/stg with MRF tyres,Bus,SARIMA,2025-01-01,0,0.0,0.0
80206319,E483_BS3_DSL,10.60 P/stg with MRF tyres,Bus,SARIMA,2025-02-01,0,0.0,0.0
80206319,E483_BS3_DSL,10.60 P/stg with MRF tyres,Bus,SARIMA,2025-03-01,0,0.0,0.0
80206319,E483_BS3_DSL,10.60 P/stg with MRF tyres,LMD,Moving Average,2025-01-01,0,0.0,0.0
80206319,E483_BS3_DSL,10.60 P/stg with MRF tyres,LMD,Moving Average,2025-02-01,0,0.0,0.0
80206319,E483_BS3_DSL,10.60 P/stg with MRF tyres,LMD,Moving Average,2025-03-01,0,0.0,0.0
80206319,E483_BS3_DSL,10.60 P/stg with MRF tyres,LMD,SES,2025-01-01,0,0.0,0.0
80206319,E483_BS3_DSL,10.60 P/stg with MRF tyres,LMD,SES,2025-02-01,0,0.0,0.0
80206319,E483_BS3_DSL,10.60 P/stg with MRF tyres,LMD,SES,2025-03-01,0,0.0,0.0
80206319,E483_BS3_DSL,10.60 P/stg with MRF tyres,LMD,Holt,2025-01-01,0,0.0,0.0
80206319,E483_BS3_DSL,10.60 P/stg with MRF tyres,LMD,Holt,2025-02-01,0,0.0,0.0
80206319,E483_BS3_DSL,10.60 P/stg with MRF tyres,LMD,Holt,2025-03-01,0,0.0,0.0
80206319,E483_BS3_DSL,10.60 P/stg with MRF tyres,LMD,Holt Winters,2025-01-01,0,0.0,0.0
80206319,E483_BS3_DSL,10.60 P/stg with MRF tyres,LMD,Holt Winters,2025-02-01,0,0.0,0.0
80206319,E483_BS3_DSL,10.60 P/stg with MRF tyres,LMD,Holt Winters,2025-03-01,0,0.0,0.0
80206319,E483_BS3_DSL,10.60 P/stg with MRF tyres,LMD,ARIMA,2025-01-01,0,0.0,0.0
80206319,E483_BS3_DSL,10.60 P/stg with MRF tyres,LMD,ARIMA,2025-02-01,0,0.0,0.0
80206319,E483_BS3_DSL,10.60 P/stg with MRF tyres,LMD,ARIMA,2025-03-01,0,0.0,0.0
80206319,E483_BS3_DSL,10.60 P/stg with MRF tyres,LMD,SARIMA,2025-01-01,0,0.0,0.0
80206319,E483_BS3_DSL,10.60 P/stg with MRF tyres,LMD,SARIMA,2025-02-01,0,0.0,0.0
80206319,E483_BS3_DSL,10.60 P/stg with MRF tyres,LMD,SARIMA,2025-03-01,0,0.0,0.0
80206319,E483_BS3_DSL,"10.60-Cowl, P/stg",Bus,Moving Average,2025-01-01,0,3.3333333333333335,-3.3333333333333335
80206319,E483_BS3_DSL,"10.60-Cowl, P/stg",Bus,Moving Average,2025-02-01,10,3.3333333333333335,6.666666666666666
80206319,E483_BS3_DSL,"10.60-Cowl, P/stg",Bus,Moving Average,2025-03-01,16,3.3333333333333335,12.666666666666666
80206319,E483_BS3_DSL,"10.60-Cowl, P/stg",Bus,SES,2025-01-01,0,1.4901160971803051e-07,-1.4901160971803051e-07
80206319,E483_BS3_DSL,"10.60-Cowl, P/stg",Bus,SES,2025-02-01,10,1.4901160971803051e-07,9.99999985098839
80206319,E483_BS3_DSL,"10.60-Cowl, P/stg",Bus,SES,2025-03-01,16,1.4901160971803051e-07,15.99999985098839
80206319,E483_BS3_DSL,"10.60-Cowl, P/stg",Bus,Holt,2025-01-01,0,1.4901160980673477e-07,-1.4901160980673477e-07
80206319,E483_BS3_DSL,"10.60-Cowl, P/stg",Bus,Holt,2025-02-01,10,1.490116098510869e-07,9.99999985098839
80206319,E483_BS3_DSL,"10.60-Cowl, P/stg",Bus,Holt,2025-03-01,16,1.49011609895439e-07,15.99999985098839
80206319,E483_BS3_DSL,"10.60-Cowl, P/stg",Bus,Holt Winters,2025-01-01,0,1.7619049312969577,-1.7619049312969577
80206319,E483_BS3_DSL,"10.60-Cowl, P/stg",Bus,Holt Winters,2025-02-01,10,1.8787880491971032,8.121211950802897
80206319,E483_BS3_DSL,"10.60-Cowl, P/stg",Bus,Holt Winters,2025-03-01,16,1.9956711670972487,14.00432883290275
80206319,E483_BS3_DSL,"10.60-Cowl, P/stg",Bus,ARIMA,2025-01-01,0,4.987305981222644,-4.987305981222644
80206319,E483_BS3_DSL,"10.60-Cowl, P/stg",Bus,ARIMA,2025-02-01,10,2.6188033401174624,7.381196659882537
80206319,E483_BS3_DSL,"10.60-Cowl, P/stg",Bus,ARIMA,2025-03-01,16,3.7436199810140307,12.256380018985968
80206319,E483_BS3_DSL,"10.60-Cowl, P/stg",Bus,SARIMA,2025-01-01,0,4.897980651685602,-4.897980651685602
80206319,E483_BS3_DSL,"10.60-Cowl, P/stg",Bus,SARIMA,2025-02-01,10,2.755095358378017,7.244904641621983
80206319,E483_BS3_DSL,"10.60-Cowl, P/stg",Bus,SARIMA,2025-03-01,16,3.6861371885264433,12.313862811473557
80206319,E483_BS3_DSL,"10.60-Cowl, P/stg",LMD,Moving Average,2025-01-01,0,0.0,0.0
80206319,E483_BS3_DSL,"10.60-Cowl, P/stg",LMD,Moving Average,2025-02-01,0,0.0,0.0
80206319,E483_BS3_DSL,"10.60-Cowl, P/stg",LMD,Moving Average,2025-03-01,0,0.0,0.0
80206319,E483_BS3_DSL,"10.60-Cowl, P/stg",LMD,SES,2025-01-01,0,0.0,0.0
80206319,E483_BS3_DSL,"10.60-Cowl, P/stg",LMD,SES,2025-02-01,0,0.0,0.0
80206319,E483_BS3_DSL,"10.60-Cowl, P/stg",LMD,SES,2025-03-01,0,0.0,0.0
80206319,E483_BS3_DSL,"10.60-Cowl, P/stg",LMD,Holt,2025-01-01,0,0.0,0.0
80206319,E483_BS3_DSL,"10.60-Cowl, P/stg",LMD,Holt,2025-02-01,0,0.0,0.0
